ward,walk,age,floor,rent,type,area,,,,,,,,,,,,,,,,,,,,,,
Minato,15,17,3,205000,1LDK,37.13,,,,,,,,,,,,,,,,,,,,,,
Minato,5,3,1,380000,1LDK,46.33,,,,,,,,,,,,,,,,,,,,,,
Minato,5,2,2,840000,2LDK,85.04,,,,,,,,,,,,,,,,,,,,,,
Minato,5,2,13,950000,3LDK,83.63,,,,,,,,,,,,,,,,,,,,,,
Minato,4,5,9,384000,1LDK,44.26,,,,,,,,,,,,,,,,,,,,,,
Minato,4,5,11,409000,1LDK,44.26,,,,,,,,,,,,,,,,,,,,,,
Minato,8,5,4,330000,2LDK,55.19,,,,,,,,,,,,,,,,,,,,,,
Minato,8,5,13,385000,2LDK,54.02,,,,,,,,,,,,,,,,,,,,,,
Minato,5,6,4,280000,2LDK,54.49,,,,,,,,,,,,,,,,,,,,,,
Minato,5,6,9,325000,1LDK,54.42,,,,,,,,,,,,,,,,,,,,,,
Minato,8,4,8,142000,1K,21.16,,,,,,,,,,,,,,,,,,,,,,
Minato,4,24,10,276000,1LDK,43.93,,,,,,,,,,,,,,,,,,,,,,
Minato,5,6,6,166000,1K,25.72,,,,,,,,,,,,,,,,,,,,,,
Minato,5,2,8,290000,1R,29.34,,,,,,,,,,,,,,,,,,,,,,
Minato,7,2,4,580000,1SLDK,60.67,,,,,,,,,,,,,,,,,,,,,,
Minato,5,0,3,750000,2LDK,70.92,,,,,,,,,,,,,,,,,,,,,,
Minato,3,28,7,346000,3LDK,61.83,,,,,,,,,,,,,,,,,,,,,,
Minato,7,0,5,880000,2LDK,82.1,,,,,,,,,,,,,,,,,,,,,,
Minato,2,20,7,255000,1LDK,54.17,,,,,,,,,,,,,,,,,,,,,,
Minato,2,20,25,330000,1LDK,60.56,,,,,,,,,,,,,,,,,,,,,,
Minato,15,20,11,178000,1R,25.33,,,,,,,,,,,,,,,,,,,,,,
Minato,4,5,2,146000,1K,25.14,,,,,,,,,,,,,,,,,,,,,,
Minato,8,9,3,488000,2LDK,68.69,,,,,,,,,,,,,,,,,,,,,,
Minato,8,9,7,350000,1LDK,41.37,,,,,,,,,,,,,,,,,,,,,,
Minato,8,9,7,350000,1LDK,41.37,,,,,,,,,,,,,,,,,,,,,,
Minato,6,23,15,330000,1LDK,60.33,,,,,,,,,,,,,,,,,,,,,,
Minato,6,48,1,550000,3LDK,113.93,,,,,,,,,,,,,,,,,,,,,,
Minato,6,27,4,291000,2LDK,51.72,,,,,,,,,,,,,,,,,,,,,,
Minato,6,29,10,277000,2LDK,68.4,,,,,,,,,,,,,,,,,,,,,,
Minato,5,25,4,271000,1R,36.04,,,,,,,,,,,,,,,,,,,,,,
Minato,13,21,3,190000,1R,41.62,,,,,,,,,,,,,,,,,,,,,,
Minato,6,27,7,172000,1DK,35.94,,,,,,,,,,,,,,,,,,,,,,
Minato,2,8,4,387000,2LDK,66.61,,,,,,,,,,,,,,,,,,,,,,
Minato,7,12,2,185000,1LDK,39.96,,,,,,,,,,,,,,,,,,,,,,
Minato,6,8,4,300000,1LDK,50.5,,,,,,,,,,,,,,,,,,,,,,
Minato,2,5,12,320000,1LDK,45.46,,,,,,,,,,,,,,,,,,,,,,
Minato,7,10,2,218000,1LDK,47.49,,,,,,,,,,,,,,,,,,,,,,
Minato,4,0,13,365000,2LDK,57.27,,,,,,,,,,,,,,,,,,,,,,
Minato,8,15,9,139000,1R,26.14,,,,,,,,,,,,,,,,,,,,,,
Minato,2,21,4,304000,1LDK,62.37,,,,,,,,,,,,,,,,,,,,,,
Minato,6,12,10,290000,1LDK,43.91,,,,,,,,,,,,,,,,,,,,,,
Minato,5,58,11,480000,3LDK,99.17,,,,,,,,,,,,,,,,,,,,,,
Minato,6,19,4,205000,1K,35.02,,,,,,,,,,,,,,,,,,,,,,
Minato,5,29,1,163000,1DK,33.57,,,,,,,,,,,,,,,,,,,,,,
Minato,8,11,3,210000,1LDK,35.75,,,,,,,,,,,,,,,,,,,,,,
Minato,10,2,8,420000,2LDK,58.26,,,,,,,,,,,,,,,,,,,,,,
Minato,7,19,1,171000,1LDK,37.33,,,,,,,,,,,,,,,,,,,,,,
Minato,9,20,4,800000,2LDK,86.54,,,,,,,,,,,,,,,,,,,,,,
Minato,4,19,3,150000,1K,26.28,,,,,,,,,,,,,,,,,,,,,,
Minato,5,12,2,750000,3LDK,105.45,,,,,,,,,,,,,,,,,,,,,,
Minato,5,2,2,840000,2LDK,85.04,,,,,,,,,,,,,,,,,,,,,,
Minato,5,2,13,880000,3LDK,83.63,,,,,,,,,,,,,,,,,,,,,,
Minato,3,4,7,152000,1K,25.8,,,,,,,,,,,,,,,,,,,,,,
Minato,3,4,2,158000,1R,29.47,,,,,,,,,,,,,,,,,,,,,,
Minato,4,5,11,409000,1LDK,44.26,,,,,,,,,,,,,,,,,,,,,,
Minato,3,28,10,267000,1LDK,57.18,,,,,,,,,,,,,,,,,,,,,,
Minato,3,28,4,384000,3LDK,70.48,,,,,,,,,,,,,,,,,,,,,,
Minato,5,3,1,380000,1LDK,46.33,,,,,,,,,,,,,,,,,,,,,,
Minato,5,3,1,400000,1LDK,54.01,,,,,,,,,,,,,,,,,,,,,,
Minato,4,9,9,350000,2LDK,53.8,,,,,,,,,,,,,,,,,,,,,,
Minato,4,9,9,420000,2LDK,57.48,,,,,,,,,,,,,,,,,,,,,,
Minato,10,0,3,280000,2LDK,58.92,,,,,,,,,,,,,,,,,,,,,,
Minato,5,6,4,280000,2LDK,54.49,,,,,,,,,,,,,,,,,,,,,,
Minato,5,6,9,325000,1LDK,54.42,,,,,,,,,,,,,,,,,,,,,,
Minato,8,5,4,330000,2LDK,55.19,,,,,,,,,,,,,,,,,,,,,,
Minato,8,5,13,385000,2LDK,54.02,,,,,,,,,,,,,,,,,,,,,,
Minato,3,24,10,276000,1LDK,43.93,,,,,,,,,,,,,,,,,,,,,,
Minato,3,24,12,287000,1LDK,43.93,,,,,,,,,,,,,,,,,,,,,,
Minato,5,8,2,145000,1R,25.23,,,,,,,,,,,,,,,,,,,,,,
Minato,5,6,6,166000,1K,25.72,,,,,,,,,,,,,,,,,,,,,,
Minato,5,6,5,206000,1LDK,32.03,,,,,,,,,,,,,,,,,,,,,,
Minato,3,28,7,346000,3LDK,61.83,,,,,,,,,,,,,,,,,,,,,,
Minato,5,2,8,290000,1R,29.34,,,,,,,,,,,,,,,,,,,,,,
Minato,5,2,12,273000,1R,29.34,,,,,,,,,,,,,,,,,,,,,,
Minato,5,0,4,580000,1SLDK,60.67,,,,,,,,,,,,,,,,,,,,,,
Minato,5,0,1,700000,1SLDK,55.1,,,,,,,,,,,,,,,,,,,,,,
Minato,3,8,10,360000,2LDK,57.93,,,,,,,,,,,,,,,,,,,,,,
Minato,3,8,8,380000,3LDK,67.09,,,,,,,,,,,,,,,,,,,,,,
Minato,6,19,7,144000,1K,31.28,,,,,,,,,,,,,,,,,,,,,,
Minato,6,19,7,146000,1K,31.28,,,,,,,,,,,,,,,,,,,,,,
Minato,4,5,2,146000,1K,25.14,,,,,,,,,,,,,,,,,,,,,,
Minato,4,5,3,159000,1K,25,,,,,,,,,,,,,,,,,,,,,,
Minato,4,4,3,244000,1SLDK,39.11,,,,,,,,,,,,,,,,,,,,,,
Minato,4,4,2,248000,1LDK,39.11,,,,,,,,,,,,,,,,,,,,,,
Minato,9,7,5,325000,2LDK,56.45,,,,,,,,,,,,,,,,,,,,,,
Minato,9,7,3,330000,2LDK,56.45,,,,,,,,,,,,,,,,,,,,,,
Minato,8,9,7,350000,1LDK,41.37,,,,,,,,,,,,,,,,,,,,,,
Minato,8,9,13,426000,1LDK,39.5,,,,,,,,,,,,,,,,,,,,,,
Minato,4,2,3,240000,1LDK,41.32,,,,,,,,,,,,,,,,,,,,,,
Minato,4,2,14,240000,1LDK,41.32,,,,,,,,,,,,,,,,,,,,,,
Minato,8,58,11,480000,3LDK,99.17,,,,,,,,,,,,,,,,,,,,,,
Minato,4,4,4,175000,1K,28.81,,,,,,,,,,,,,,,,,,,,,,
Minato,4,4,4,180000,1K,28.81,,,,,,,,,,,,,,,,,,,,,,
Minato,7,4,8,142000,1K,21.16,,,,,,,,,,,,,,,,,,,,,,
Minato,7,4,7,167000,1DK,25.76,,,,,,,,,,,,,,,,,,,,,,
Minato,3,3,3,190000,1LDK,36.72,,,,,,,,,,,,,,,,,,,,,,
Minato,3,3,3,202000,1LDK,36.72,,,,,,,,,,,,,,,,,,,,,,
Minato,6,17,12,188000,1LDK,38.73,,,,,,,,,,,,,,,,,,,,,,
Minato,6,48,1,550000,3LDK,113.93,,,,,,,,,,,,,,,,,,,,,,
Minato,6,48,1,590000,3LDK,113.93,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,8,21,260000,2LDK,60.08,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,2,4,115000,1R,20.24,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,3,19,390000,2LDK,54.09,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,2,8,158000,1DK,30.08,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,1,5,149000,1DK,25.46,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,1,2,197000,1LDK,35.07,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,12,1,136000,1LDK,43.26,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,2,1,144000,1DK,29.12,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,2,4,218000,2LDK,45.57,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,11,2,152000,1LDK,36.69,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,12,6,242000,2LDK,56,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,13,2,149000,1LDK,41.5,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,15,1,150000,1LDK,38.49,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,17,11,295000,2LDK,54.4,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,1,2,148000,1LDK,29.48,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,6,2,92000,1R,21.7,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,6,1,185000,1LDK,43.82,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,6,4,132000,1DK,30.1,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,12,2,176000,1LDK,41.2,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,8,2,119000,1R,23.27,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,8,3,190000,1LDK,34.73,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,1,7,210000,1LDK,40.65,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,1,2,160000,1LDK,32.53,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,7,5,280000,2LDK,54.56,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,7,8,310000,2LDK,54.79,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,13,4,165000,1LDK,40.5,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,6,5,180000,1LDK,39.91,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,36,3,150000,2DK,44.81,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,9,4,165000,1K,32.7,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,9,4,200000,1LDK,44.92,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,5,1,189000,1LDK,42.79,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,4,1,118000,2K,25.96,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,13,4,165000,1LDK,40.5,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,6,4,180000,1LDK,39.91,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,16,17,235000,1LDK,41.36,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,16,34,399000,2LDK,64.7,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,9,4,165000,1K,32.7,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,9,5,220000,1LDK,44.79,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,5,1,189000,1LDK,42.79,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,4,1,118000,2K,25.96,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,21,2,199000,1K,39.2,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,4,1,163300,1LDK,30.38,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,8,21,189000,2LDK,60.08,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,8,11,290000,3LDK,64.73,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,2,1,178000,2DK,35.71,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,3,19,390000,2LDK,54.09,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,3,24,580000,3LDK,75.26,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,0,20,155000,1R,25.04,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,0,17,235000,1LDK,35.68,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,2,8,158000,1DK,30.08,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,2,7,176000,1LDK,35.25,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,0,5,149000,1DK,25.46,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,0,2,249000,2LDK,48.04,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,19,8,185000,1LDK,54.96,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,19,24,500000,3LDK,80.91,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,1,5,147000,1DK,28.79,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,1,2,224000,2LDK,46.21,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,12,1,136000,1LDK,43.26,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,0,1,144000,1DK,29.12,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,0,2,148000,1DK,30.94,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,2,13,2,149000,1LDK,41.5,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,15,1,150000,1LDK,38.49,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,17,11,295000,2LDK,54.4,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,1,2,148000,1LDK,29.48,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,0,4,171000,1LDK,29.03,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,12,2,125000,1LDK,33.06,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,6,2,92000,1R,21.7,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,6,5,98000,1K,21.91,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,12,3,100800,1K,21.26,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,8,2,119000,1R,23.27,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,1,7,210000,1LDK,40.65,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,0,2,160000,1LDK,32.53,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,7,6,166000,1LDK,41.82,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,7,5,280000,2LDK,54.56,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,7,9,105000,1R,20.91,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,13,4,165000,1LDK,40.5,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,15,4,99000,1K,20.55,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,8,1,107000,1K,20.03,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,1,9,6,195000,1R,34.85,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,10,8,3,100000,1K,24.24,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,5,2,109000,1K,20.2,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,5,2,100000,1K,24.57,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,8,1,95000,1R,24.43,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,4,5,2,125000,1K,20.7,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,5,2,165000,1DK,28.03,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,7,3,92000,1R,19.34,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,11,13,99000,1K,20.52,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,4,1,152000,1DK,25.2,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,6,4,124000,1K,20.75,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,7,19,1,101000,1K,20.73,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,6,23,9,83800,1K,20.29,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,11,2,80000,1R,20.46,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,8,8,3,130000,1K,30.87,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,6,3,115000,1K,22.14,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,5,20,2,102000,1K,20.18,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,8,8,116000,1K,21.37,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,11,3,99000,1K,21,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,5,5,97000,1K,20.41,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,9,8,10,102000,1K,22.24,,,,,,,,,,,,,,,,,,,,,,
Shinagawa,3,9,9,108000,1K,21.39,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,3,2,217000,1LDK,39.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,3,7,222000,1LDK,39.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,3,4,156000,1DK,27.05,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,3,1,176000,1LDK,32.56,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,3,3,133000,1K,25.11,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,3,7,138000,1K,25.18,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,6,4,177000,1LDK,35.55,,,,,,,,,,,,,,,,,,,,,,
